doctor_name,unique_patients
"Christopher Hill",116
"Ashley Davis",116
"Brandon Hahn",114
"Larry Williams",107
"Kelly Allen",105
"Stephen Owens",104
"Richard Ward",103
"Joseph Jenkins",102
"Jason Moreno",102
"Philip Garcia",100
"Dale Edwards",99
"Megan Fernandez",99
"Rachel Hayes",98
"Stephanie Ellison",98
"Claire Clark",98
"Clinton Medina",98
"Colton Figueroa",98
"Jeffrey Hawkins",98
"Brent Hall",97
"Ronald Miller",97
"Rodney Curtis",97
"Elizabeth Gonzalez",97
"Kelly Combs",97
"Steven Schwartz",97
"Terri Morgan",97
"Steve Mooney",96
"Robert Matthews",96
"Melissa Russell",96
"Linda Mueller",96
"Todd White",95
"Elizabeth Morrison",95
"Jerry Watson",95
"John Walsh",95
"Sabrina Young",95
"Misty Hansen",95
"Larry Austin",95
"James Skinner",94
"David Terry",93
"Patrick Gibbs",93
"Robert Williams",93
"Daniel Thomas",92
"Michelle Simpson",92
"Alexandria Gutierrez",92
"Juan Silva",92
"Laura Ray",92
"Scott Alexander",92
"Diana Daniels",91
"Miranda Gill",91
"Sandra Williams",91
"Angela Chung",91
"Francis Navarro",90
"Frank Campbell",90
"Elizabeth Stout",90
"Juan Bennett",90
"Terri Clark",90
"Douglas Hartman",89
"Kevin James",89
"Sean Figueroa",89
"Michele Sanders",88
"David Rivera",88
"Elizabeth Wright",88
"Erin Madden",88
"Samantha Hickman",88
"Joel Brown",88
"Charles Payne",88
"Tracy Nguyen",88
"Chris Robinson",87
"Brittany Price",87
"Marie Johnson",87
"Antonio Little",86
"Dana Meyer",85
"Cassie Jefferson",85
"Justin Knight",85
"Tracy Casey",85
"Victoria Boyd",85
"Nancy Thompson",84
"Catherine Saunders",84
"Angela Bruce",84
"Derrick Adams",84
"Denise Glass",84
"Timothy Gonzalez",84
"Matthew Parker",84
"Angela Mcgee",83
"Kristi Williams",83
"Derrick James",83
"Jonathan Wolfe",82
"Mason James",82
"Chad Mccoy",81
"Nathan Nichols",81
"Susan Hopkins",81
"Kelly Sanchez",80
"Katherine Cummings",80
"Julia Oconnor",80
"Judith Taylor",80
"Donald Hawkins",79
"Dawn Gomez",79
"Nicole Rocha",78
"Wyatt Young",77
"Darin Mathews",75
"Karen Thompson",74
